"wvsccode","country","ccode"
8,"Albania",339
12,"Algeria",615
20,"Andorra",232
31,"Azerbaijan",373
32,"Argentina",160
36,"Australia",900
48,"Bahrain",692
50,"Bangladesh",771
51,"Armenia",371
70,"Bosnia",346
76,"Brazil",140
100,"Bulgaria",355
112,"Belarus",370
124,"Canada",20
152,"Chile",155
156,"China",710
158,"Taiwan",713
170,"Colombia",100
191,"Croatia",344
196,"Cyprus",352
203,"Czech Rep.",316
214,"Dominican Republic",42
218,"Ecuador",130
222,"El Salvador",92
231,"Ethiopia",530
233,"Estonia",366
246,"Finland",375
250,"France",220
268,"Georgia",372
275,"Palestine",
276,"Germany",255
288,"Ghana",452
320,"Guatemala",90
344,"Hong Kong",
348,"Hungary",310
356,"India",750
360,"Indonesia",850
364,"Iran",630
368,"Iraq",645
376,"Israel",666
380,"Italy",325
392,"Japan",740
398,"Kazakhstan",705
400,"Jordan",663
410,"South Korea",732
414,"Kuwait",690
417,"Kyrgyzstan",703
422,"Lebanon",660
428,"Latvia",367
434,"Libya",620
440,"Lithuania",368
458,"Malaysia",820
466,"Mali",432
484,"Mexico",70
498,"Moldova",359
499,"Montenegro",341
504,"Morocco",600
528,"Netherlands",210
554,"New Zealand",920
566,"Nigeria",475
578,"Norway",385
586,"Pakistan",770
604,"Peru",135
608,"Philippines",840
616,"Poland",290
630,"Puerto Rico",
634,"Qatar",694
642,"Romania",360
643,"Russia",365
646,"Rwanda",517
682,"Saudi Arabia",670
688,"Serbia",345
702,"Singapore",830
703,"Slovakia",317
704,"Vietnam",816
705,"Slovenia",349
710,"South Africa",560
716,"Zimbabwe",552
724,"Spain",230
752,"Sweden",380
756,"Switzerland",225
764,"Thailand",800
780,"Trinidad and Tobago",52
788,"Tunisia",616
792,"Turkey",640
800,"Uganda",500
804,"Ukraine",369
807,"Macedonia",343
818,"Egypt",651
826,"Great Britain",200
834,"Tanzania",510
840,"United States",2
854,"Burkina Faso",439
858,"Uruguay",165
860,"Uzbekistan",704
862,"Venezuela",101
887,"Yemen",679
891,"Serbia and Montenegro",345
894,"Zambia",551
914,"Bosnia",346
